game_date,inning,at_bat_number,pitch_number,pitch_type,pitch_name,stand,balls,strikes,release_speed,effective_speed,release_spin_rate,spin_axis,release_extension,release_pos_x,release_pos_z,pfx_x,pfx_z,arm_angle,plate_x,plate_z,sz_top,sz_bot,zone,events,description,type,launch_speed,launch_angle,launch_speed_angle,hit_distance_sc,estimated_ba_using_speedangle,estimated_slg_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,hc_x,hc_y,start_group
2026-03-25,2,12,1,SI,Sinker,R,0,0,92.1,92.3,1752.0,250.0,6.7,-1.85,5.01,-1.55,0.21,23.3,0.7352089145343088,2.129980131305484,3.083095472,1.555954724,6,,called_strike,S,,,,,,,,,,,,,,Bad
2026-03-25,2,12,2,SI,Sinker,R,0,1,91.5,92.0,1831.0,241.0,6.6,-1.99,4.94,-1.44,0.12,24.8,-1.255522178007012,3.056717325918346,3.083095472,1.555954724,11,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,2,12,3,ST,Sweeper,R,1,1,85.3,85.8,2326.0,22.0,6.6,-2.03,4.78,0.11,0.07,17.7,0.3990999284772727,2.4908350160653003,3.083095472,1.555954724,6,single,hit_into_play,X,102.4,10.0,4.0,180.0,0.834,1.005,0.802,0.9,1.0,1.0,0.0,81.37,142.65,Bad
2026-03-25,2,13,1,SI,Sinker,L,0,0,91.4,92.1,1893.0,244.0,6.8,-1.74,4.98,-1.4,0.42,22.2,0.1358877582763764,3.385724186213615,3.31742126,1.674212598,2,,called_strike,S,,,,,,,,,,,,,,Bad
2026-03-25,2,13,2,SI,Sinker,L,0,1,91.6,92.3,1843.0,242.0,6.7,-1.74,4.94,-1.56,0.0,22.5,-0.2653810042594342,3.081029222417385,3.31742126,1.674212598,2,,swinging_strike,S,,,,,,,,,,,,,,Bad
2026-03-25,2,13,3,CH,Changeup,L,0,2,85.5,87.1,1496.0,280.0,7.0,-1.94,4.78,-0.78,-0.45,16.6,-0.4778663333244272,1.8564037022683857,3.31742126,1.674212598,7,single,hit_into_play,X,95.8,-26.0,2.0,4.0,0.105,0.126,0.1,0.9,1.0,1.0,0.0,148.77,96.45,Bad
2026-03-25,2,14,1,CH,Changeup,L,0,0,85.3,85.8,1359.0,270.0,6.7,-2.05,4.78,-0.89,-0.64,23.0,0.1820760966400785,2.5227105028963073,3.254232283,1.642322835,5,single,hit_into_play,X,88.2,15.0,4.0,233.0,0.983,1.111,0.917,0.9,1.0,1.0,0.0,99.15,84.07,Bad
2026-03-25,2,15,1,CH,Changeup,L,0,0,85.8,87.0,1545.0,270.0,6.8,-1.89,4.81,-1.35,-0.44,16.7,0.0658789833532407,1.5169580697564302,3.138385827,1.583858268,8,triple,hit_into_play,X,105.7,22.0,6.0,390.0,0.843,2.609,1.415,1.6,1.0,1.0,2.0,162.58,45.22,Bad
2026-03-25,2,16,1,FF,4-Seam Fastball,R,0,0,92.1,92.8,2050.0,243.0,6.9,-1.54,5.14,-0.8,1.16,26.0,0.967938587415267,3.721088692102512,3.522785433,1.777854331,12,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,2,16,2,SI,Sinker,R,1,0,91.4,91.9,1935.0,244.0,6.8,-1.74,5.03,-1.29,-0.19,22.3,0.4044161248259446,3.740606039890188,3.522785433,1.777854331,12,,called_strike,S,,,,,,,,,,,,,,Bad
2026-03-25,2,16,3,FF,4-Seam Fastball,R,1,1,92.8,93.3,2130.0,236.0,6.8,-1.73,5.09,-0.76,1.14,24.1,0.047642678313946,4.190414797658827,3.522785433,1.777854331,12,,ball,B,,,,,,,,,,,,,,Bad
2026-03-25,2,16,4,SI,Sinker,R,2,1,91.2,91.9,1791.0,242.0,6.8,-1.66,5.01,-1.32,-0.13,21.2,0.5553560542594957,3.502556265098657,3.522785433,1.777854331,3,,called_strike,S,,,,,,,,,,,,,,Bad
2026-03-25,2,16,5,CH,Changeup,R,2,2,86.1,87.8,1565.0,276.0,6.9,-1.93,4.79,-0.95,-0.28,19.7,-0.1805977169216381,1.796333404839733,3.522785433,1.777854331,8,strikeout,called_strike,S,,,,,,,0.0,0.0,1.0,0.0,0.0,,,Bad
2026-03-25,2,17,1,SI,Sinker,L,0,0,90.9,91.3,1945.0,246.0,6.7,-1.8,4.95,-1.49,0.14,23.4,-0.3032076755987487,3.175630612523435,3.344627625,1.687942913,1,,foul,S,82.5,58.0,,215.0,,,,,,,,,,Bad
